Episode,Avg_Loss,Reward,Epsilon
0,1.9312701123566482,-6040.999999999998,0.9999
1,5.131043537676335,-6425.400000000002,0.9998000100000001
2,4.160832334458828,-6962.0000000000055,0.9997000299990001
3,4.44028861862421,-7779.000000000016,0.9996000599960002
4,4.640204912364483,-7937.900000000008,0.9995000999900007
5,4.87574401807785,-6451.100000000004,0.9994001499800017
6,4.441213379383087,-8423.500000000007,0.9993002099650037
7,5.5784080308675765,-9241.30000000001,0.9992002799440072
8,5.302349664390087,-5008.900000000003,0.9991003599160128
9,4.959353554844856,-5937.90000000001,0.9990004498800211
10,4.975354477167129,-7493.400000000017,0.9989005498350332
11,7.4656268222332,-5682.800000000005,0.9988006597800497
12,6.702998686790466,-7499.999999999997,0.9987007797140718
13,6.764655481338501,-6644.400000000015,0.9986009096361004
14,6.7143947472572325,-7534.600000000002,0.9985010495451367
15,6.517457564234734,-5642.100000000001,0.9984011994401822
16,6.3580859417915345,-6113.000000000015,0.9983013593202382
17,6.816927872419357,-8269.800000000017,0.9982015291843062
18,6.869767476558685,-5795.500000000008,0.9981017090313877
19,6.587168567061425,-5532.399999999991,0.9980018988604846
20,6.798708619713783,-7540.50000000001,0.9979020986705985
21,7.9044958531856535,-7692.600000000004,0.9978023084607315
22,7.626209090590477,-5790.800000000002,0.9977025282298854
23,7.827211108922959,-9269.300000000012,0.9976027579770624
24,8.044941196918488,-6922.700000000006,0.9975029977012647
25,8.064525592207909,-5486.200000000004,0.9974032474014946
26,7.818685376882553,-8026.600000000018,0.9973035070767544
27,7.946568232059478,-6223.699999999994,0.9972037767260468
28,7.974396550536156,-7858.6,0.9971040563483742
29,8.271988894462586,-7245.400000000005,0.9970043459427393
30,8.10581163239479,-6704.400000000009,0.9969046455081451
31,9.90632227742672,-5856.199999999997,0.9968049550435942
32,9.432823755145073,-7122.000000000002,0.9967052745480899
33,9.571247386932374,-10336.50000000001,0.9966056040206351
34,9.916746911764145,-8299.700000000012,0.9965059434602331
35,9.817749915122986,-8635.800000000005,0.9964062928658871
36,9.917195999503136,-5792.00000000001,0.9963066522366005
37,9.847524536252022,-9136.500000000005,0.9962070215713769
38,10.055074530959129,-5887.700000000003,0.9961074008692198
39,9.817245775341988,-5464.800000000005,0.9960077901291329
40,9.684805450320244,-7764.700000000004,0.9959081893501199
